architectural technician
babysitter
baker
ballboy
bank teller
barista 
bartender
bookseller
camp counsellor
cashier
chef
cleaner
dancer
dishwasher
dog walker
editor
engineer
farmer
fruit picker
graphic designer
landscaper
lawyer
librarian
lifeguard
manager
musician
nanny
night security
nurse
plumber
receptionist 
sales assistant
scientist
security guard
soldier
tattoo artist
teacher
telemarketer
vetenarian
waiter
web developer
Yauchtsman
